Date,Price,Open,High,Low,Volume,Chg%
9/10/2007,4507.85,4506.85,4515.25,4452.95,68.94B,-0.0004
9/7/2007,4509.5,4518.65,4547.75,4499.9,58.01B,-0.002
9/6/2007,4518.6,4475.7,4522.5,4445.55,60.55B,0.0096
9/5/2007,4475.85,4479.6,4507.75,4458.55,73.80B,-0.0008
9/4/2007,4479.25,4481.55,4501.3,4460.4,72.43B,0.001
9/3/2007,4474.75,4466.65,4490.55,4452.4,82.24B,0.0024
8/31/2007,4464,4412.6,4471.3,4403,83.58B,0.0117
8/30/2007,4412.3,4360.35,4422.3,4359.75,128.10B,0.0122
8/29/2007,4359.3,4317.7,4368.6,4226.35,85.95B,0.0089
8/28/2007,4320.7,4302.4,4329.15,4280.6,62.00B,0.0042
8/27/2007,4302.6,4193.6,4310,4193.6,62.77B,0.0268
8/24/2007,4190.15,4113.05,4201.45,4110.05,63.18B,0.0183
8/23/2007,4114.95,4160.1,4249.85,4100.8,94.00B,-0.0092
8/22/2007,4153.15,4081.25,4165.7,4040.15,88.28B,0.0192
8/21/2007,4074.9,4209.55,4238.1,4058.55,75.55B,-0.0319
8/20/2007,4209.05,4108.95,4262.6,4108.95,68.78B,0.0246
8/17/2007,4108.05,4171.1,4171.1,4002.2,135.96B,-0.0169
8/16/2007,4178.6,4366,4366,4171.15,96.56B,-0.0438
8/14/2007,4370.2,4373.9,4394.3,4354.35,43.43B,-0.0008
8/13/2007,4373.65,4324.65,4383.8,4324.65,49.07B,0.0093
8/10/2007,4333.35,4393.6,4395.5,4239.2,81.66B,-0.0159
8/9/2007,4403.2,4462.25,4530.05,4390.8,78.45B,-0.0132
8/8/2007,4462.1,4357,4472.15,4356.75,68.39B,0.0243
8/7/2007,4356.35,4341.5,4406.4,4341.5,62.46B,0.0039
8/6/2007,4339.5,4404.05,4404.05,4267.15,63.59B,-0.0141
8/3/2007,4401.55,4355.75,4428.1,4355.75,62.86B,0.0104
8/2/2007,4356.35,4356.35,4399.75,4327,71.07B,0.0024
8/1/2007,4345.85,4528.85,4532.9,4339.75,104.23B,-0.0404
7/31/2007,4528.85,4444.25,4534.2,4432.85,84.26B,0.02
7/30/2007,4440.05,4442.35,4493.05,4403.7,94.93B,-0.0012
7/27/2007,4445.2,4618.65,4618.9,4424.25,134.57B,-0.0378
7/26/2007,4619.8,4593.1,4624.3,4570.8,128.90B,0.0068
7/25/2007,4588.7,4620.5,4620.5,4555.8,108.55B,-0.0069
7/24/2007,4620.75,4620.05,4647.95,4609.75,81.34B,0.0003
7/23/2007,4619.35,4564.25,4628.45,4547.2,76.30B,0.0117
7/20/2007,4566.05,4563.75,4600.8,4553.8,87.67B,0.0009
7/19/2007,4562.1,4500.35,4573,4496.2,84.00B,0.0139
7/18/2007,4499.55,4498.65,4510.8,4452.85,78.47B,0.0006
7/17/2007,4496.75,4497.1,4550.25,4488.25,98.18B,-0.0034
7/16/2007,4512.15,4505.95,4521.85,4495.95,100.80B,0.0017
7/13/2007,4504.55,4446.4,4513.9,4446.05,126.46B,0.0131
7/12/2007,4446.15,4388.05,4451.95,4387.05,94.21B,0.0134
7/11/2007,4387.15,4403.8,4411.45,4344.7,77.61B,-0.0043
7/10/2007,4406.05,4419.1,4434.45,4393,72.59B,-0.003
7/9/2007,4419.4,4385.45,4427.55,4385.45,59.06B,0.0079
7/6/2007,4384.85,4353.1,4411,4304,83.29B,0.0071
7/5/2007,4353.95,4359.2,4378.55,4311.8,63.67B,-0.0012
7/4/2007,4359.3,4358.25,4386.45,4342,62.53B,0.0004
7/3/2007,4357.55,4315.05,4363.35,4313.55,60.04B,0.0102
7/2/2007,4313.75,4318.4,4346.75,4305.45,64.31B,-0.0011
6/29/2007,4318.3,4282.4,4321.35,4280.95,72.07B,0.0085
6/28/2007,4282,4263.9,4291.4,4256.9,117.44B,0.0042
6/27/2007,4263.95,4286.2,4294.2,4255.25,76.76B,-0.0051
6/26/2007,4285.7,4259.4,4296.15,4250.1,78.18B,0.0062
6/25/2007,4259.4,4251.4,4264.25,4236.3,75.53B,0.0017
6/22/2007,4252.05,4267.55,4278.85,4242.5,65.62B,-0.0036
6/21/2007,4267.4,4248.65,4275.35,4220.1,71.84B,0.0044
6/20/2007,4248.65,4214.3,4257,4214.3,65.96B,0.0082
6/19/2007,4214.3,4143.85,4222.4,4136.15,56.23B,0.0162
6/18/2007,4147.1,4177,4208.15,4140.25,51.44B,-0.0058
6/15/2007,4171.45,4186.4,4209.45,4153.7,62.45B,0.0003
6/14/2007,4170,4113.2,4174.05,4112.85,62.82B,0.0138
6/13/2007,4113.05,4155.2,4161.8,4102.95,63.99B,-0.0101
6/12/2007,4155.2,4139.7,4166.85,4100.8,73.32B,0.0023
6/11/2007,4145.6,4183.75,4205.2,4134.95,82.51B,0.0001
6/8/2007,4145,4179.5,4195.15,4126.1,101.08B,-0.0083
6/7/2007,4179.5,4197.6,4230.05,4130.5,85.73B,-0.0045
6/6/2007,4198.25,4285.75,4324.1,4190.95,83.44B,-0.0202
6/5/2007,4284.65,4268.9,4292.5,4249.1,77.38B,0.0041
6/4/2007,4267.05,4300.7,4362.95,4256.45,81.07B,-0.007
6/1/2007,4297.05,4296.05,4325.8,4288.55,72.92B,0.0003
5/31/2007,4295.8,4250.25,4306.75,4250.25,105.56B,0.0109
5/30/2007,4249.65,4292.7,4301.6,4241.35,88.08B,-0.0102
5/29/2007,4293.25,4257.6,4298.85,4248.9,70.65B,0.0086
5/28/2007,4256.55,4248.35,4295.6,4242.8,82.69B,0.002
5/25/2007,4248.15,4197.85,4256.4,4141.35,87.03B,0.0103
5/24/2007,4204.9,4246.2,4250.85,4189.05,79.31B,-0.0097
5/23/2007,4246.2,4279.6,4291.4,4231.05,84.52B,-0.0075
5/22/2007,4278.1,4263.1,4281.6,4234.1,85.01B,0.004
5/21/2007,4260.9,4217.65,4269.35,4217.55,92.55B,0.011
5/18/2007,4214.5,4216.5,4228.45,4177,68.60B,-0.0012
5/17/2007,4219.55,4172.1,4232.45,4172.1,91.72B,0.0117
5/16/2007,4170.95,4125.4,4181,4113.05,86.97B,0.0123
5/15/2007,4120.3,4134.3,4150.45,4102.45,82.69B,-0.0034
5/14/2007,4134.3,4078.8,4151.3,4072.45,95.13B,0.0141
5/11/2007,4076.65,4070.2,4094.65,3981.15,101.59B,0.0024
5/10/2007,4066.8,4079.6,4134.2,4057.55,74.02B,-0.0031
5/9/2007,4079.3,4077.25,4087.8,4030.55,65.55B,0.0006
5/8/2007,4077,4111.25,4136.05,4066.4,71.94B,-0.0083
5/7/2007,4111.15,4117.5,4157.65,4103.6,62.92B,-0.0015
5/4/2007,4117.35,4168.9,4180.9,4109.7,67.37B,-0.0081
5/3/2007,4150.85,4089.45,4161.2,4080.75,79.37B,0.0154
4/30/2007,4087.9,4081.6,4096.9,4028.9,74.10B,0.0011
4/27/2007,4083.5,4182,4182,4074.3,83.11B,-0.0226
4/26/2007,4177.85,4170.05,4217.9,4143.25,111.62B,0.0025
4/25/2007,4167.3,4134.25,4173.3,4114.35,96.19B,0.0062
4/24/2007,4141.8,4085.1,4162.15,4057.7,101.66B,0.0139
4/23/2007,4085.1,4083.55,4122.35,4075.2,85.68B,0.0004
4/20/2007,4083.55,4000.25,4090.05,3995.5,96.49B,0.0215
4/19/2007,3997.65,3998.5,4011,3933.35,75.74B,-0.0035
4/18/2007,4011.6,3989.6,4039.25,3981.75,73.77B,0.0067
4/17/2007,3984.95,4014.4,4030,3976.25,83.03B,-0.0071
4/16/2007,4013.35,3920.5,4016.8,3920.5,85.02B,0.0245
4/13/2007,3917.35,3830.35,3924.55,3828.45,89.06B,0.0228
4/12/2007,3829.85,3861.85,3861.85,3811.25,69.27B,-0.0085
4/11/2007,3862.65,3848.35,3876.35,3844.75,89.11B,0.0038
4/10/2007,3848.15,3844.15,3858.35,3819.3,77.79B,0.0012
4/9/2007,3843.5,3752.9,3850.9,3747.25,65.50B,0.0244
4/5/2007,3752,3735.2,3771.45,3709.15,75.32B,0.005
4/4/2007,3733.25,3689.75,3751.4,3689.75,73.93B,0.0115
4/3/2007,3690.65,3633.85,3703.05,3632.2,63.21B,0.0157
4/2/2007,3633.6,3820,3820,3617,74.49B,-0.0492
3/30/2007,3821.55,3788.85,3832.2,3785.3,75.88B,0.0062
3/29/2007,3798.1,3759.15,3805.85,3750.35,106.71B,0.0098
3/28/2007,3761.1,3818.75,3830.3,3752.95,78.53B,-0.0154
3/26/2007,3819.95,3863.45,3885.45,3768.25,66.32B,-0.0106
3/23/2007,3861.05,3876.75,3901.75,3850.8,85.38B,-0.0038
3/22/2007,3875.9,3764.5,3881,3764.5,89.00B,0.0296
3/21/2007,3764.55,3697.7,3771.2,3680.6,72.87B,0.0181
3/20/2007,3697.6,3680.35,3725,3676.65,69.48B,0.0051
3/19/2007,3678.9,3611.3,3683.35,3602.85,45.71B,0.0195
3/16/2007,3608.55,3639.35,3683.6,3573.85,60.52B,-0.0096
3/15/2007,3643.6,3644.9,3711.05,3630.55,73.33B,0.0007
